id,title,year,manufactor,latitude,longitude
edanmdm-nasm_A19540087000,"Model, Static, Wright Glider, 1911",1910s,Wright Company,39.759444,-84.191667
edanmdm-nasm_A19540088000,"Model, Static, Wright C, 1912",1910s,Wright Company,39.759444,-84.191667
edanmdm-nasm_A19540111000,"Model, Static, Wright Type A, 1908",1900s,Wright Company,39.759444,-84.191667
edanmdm-nasm_A19680015000,"Rocket Sled, Sonic Wind I",1950s,Northrop Aircraft Inc.,33.917222,-118.348611
edanmdm-nasm_A19240003000,Fokker T-2,1920s,Fokker,52.366667,4.9
edanmdm-nasm_A20050452000,1900 Wright Glider (reproduction),2000s,Ken Hyde and the Wright Experience Team,38.718333,-77.797222
edanmdm-nasm_A19280002000,Curtiss R3C-2,1920s,Curtiss Aeroplane Company,42.904722,-78.849444
edanmdm-nasm_A19360030000,"Lockheed Vega ""Winnie Mae""",1930s,Lockheed Aircraft Company,34.180278,-118.328333
edanmdm-nasm_A19420011000,"Model, Static, Folkerts Speed King SK-3 Jupiter - Pride of Lemont",1930s,"Folkerts, Clayton",41.675,-87.9975
edanmdm-nasm_A19540014000,"Model, Static, 1905 Flyer, Wright",1900s,Wright Company,39.759444,-84.191667
edanmdm-nasm_A19300031000,"Atwood-Wright Propeller, fixed-pitch, two-blade, wood",1910s,Wright Company,39.759444,-84.191667
edanmdm-nasm_A19510007000,Bell X-1,1940s,Bell Aircraft Corp.,42.904722,-78.849444
edanmdm-nasm_A19840195000,"Bell 206L-1 LongRanger II ""Spirit of Texas""",1970s,Bell Helicopter Corporation,32.089722,-97.3325
edanmdm-nasm_A19970455000,Grob 102 Standard Astir III,1980s,Grob Aircraft,48.7775,11.431111
edanmdm-nasm_A19350058000,"Bowlus 1-S-2100 Senior Albatross ""Falcon""",1930s,Bowlus-Dupont Sailplane Company,32.67,-117.241944
edanmdm-nasm_A19610048000,1903 Wright Flyer,1900s,Wright Company,39.759444,-84.191667
edanmdm-nasm_A19280021000,"Ryan NYP ""Spirit of St. Louis"", Charles A. Lindbergh",1920s,Ryan Airline Company,32.715,-117.1625
edanmdm-nasm_A19680241000,"Capsule, Mercury #15B",1960s,McDonnell Aircraft Corp.,38.627222,-90.197778
edanmdm-nasm_A19680273000,"Capsule, Gemini VII",1960s,McDonnell Aircraft Corp.,38.627222,-90.197778
edanmdm-nasm_A19740677000,Mobile Quarantine Facility,1960s,"Airstream, Inc.",34.05,-118.25
edanmdm-nasm_A19400027000,"Propeller, controllable-pitch, two-blade, Hamilton Standard, metal, Ruth Nichols",1930s,Hamilton Standard,41.925,-72.649444
edanmdm-nasm_A19680021000,"Rocket Test Stand No. 2, American Rocket Society (ARS)",1940s,American Rocket Society,40.71274,-74.005974
edanmdm-nasm_A19700076000,"Paraglider Research Vehicle (Paresev) 1-A, Gemini",1960s,NASA Armstrong Flight Research Center,34.950712,-117.88652
edanmdm-nasm_A19990257000,"Gondola, Breitling Orbiter 3",1990s,Cameron Balloons,51.45,-2.583333
edanmdm-nasm_A19700294000,"Lunar Lander, Surveyor",1960s,Hughes Aircraft Co.,34.007778,-118.400833
edanmdm-nasm_A19711598000,"Lunar Module #2, Apollo",1960s,Grumman Aircraft Engineering Corporation,40.746667,-73.484444
edanmdm-nasm_A19490047000,"American Propeller and Mfg Co. Propeller, fixed-pitch, two-blade, wood",1900s,American Propeller and Manufacturing Company,39.289444,-76.615278
edanmdm-nasm_A19340060000,Wright EX Vin Fiz,1910s,Wright Company,39.759444,-84.191667
edanmdm-nasm_A19280013000,Captain H.C. Gray Balloon Basket,1920s,United States Army Air Corps,38.533333,-89.866667
edanmdm-nasm_A19280013000,Captain H.C. Gray Balloon Basket,1920s,United States Army Air Corps,38.533333,-89.866667
edanmdm-nasm_A19330024000,"Goodyear ""Pilgrim"" Gondola",1920s,"Goodyear Tire & Rubber Company, Airship Operations",41.073056,-81.517778
edanmdm-nasm_A19370060000,"Cabin, ""EXPLORER II""",1930s,United States Army Air Corps,38.533333,-89.866667
edanmdm-nasm_A19751576000,"Lifting Body, M2-F3",1970s,Northrop Norair,33.917222,-118.348611
edanmdm-nasm_A19670176000,"Capsule, Mercury, MA-6",1960s,McDonnell Aircraft Corp.,38.627222,-90.197778
